,precinct,prediction,observed,date,mae
15,34,102.54588506639845,95,2018-04-01,7.545885066398455
16,34,98.14403652913983,108,2018-05-01,9.855963470860175
17,34,102.88331985418276,123,2018-06-01,20.11668014581724
18,34,113.7421363866943,131,2018-07-01,17.2578636133057
19,34,124.94966503902795,128,2018-08-01,3.0503349609720516
20,34,128.3227152959934,110,2018-09-01,18.32271529599339
21,34,119.08494562635174,112,2018-10-01,7.08494562635174
22,34,114.57063544200263,110,2018-11-01,4.570635442002626
23,34,110.72629743984064,112,2018-12-01,1.2737025601593643
0,67,152.8800581565881,173,2017-01-01,20.119941843411908
1,67,164.30869762947177,157,2017-02-01,7.308697629471766
2,67,159.50028541966157,136,2017-03-01,23.500285419661566
3,67,145.63566487723241,149,2017-04-01,3.364335122767585
4,67,146.07342720599152,181,2017-05-01,34.92657279400848
5,67,166.25220114435453,170,2017-06-01,3.7477988556454704
6,67,169.26741877323357,174,2017-07-01,4.732581226766428
7,67,173.64701610731078,176,2017-08-01,2.352983892689224
8,67,174.31415755396338,167,2017-09-01,7.314157553963383
9,67,169.79920899965825,177,2017-10-01,7.200791000341752
10,67,174.05560892530656,161,2017-11-01,13.055608925306558
11,67,165.3675498396454,160,2017-12-01,5.367549839645392
12,67,162.17139157969441,160,2018-01-01,2.171391579694415
13,67,159.63731632929532,134,2018-02-01,25.637316329295317
14,67,143.39662535697164,135,2018-03-01,8.39662535697164
15,67,137.50298740131421,124,2018-04-01,13.502987401314215
16,67,127.2319076150628,149,2018-05-01,21.768092384937205
17,67,140.12488889562997,147,2018-06-01,6.875111104370035
18,67,143.70404298496106,176,2018-07-01,32.29595701503894
19,67,164.75161604166524,176,2018-08-01,11.248383958334756
20,67,172.0388211554547,152,2018-09-01,20.038821155454713
21,67,160.6682920625139,144,2018-10-01,16.6682920625139
22,67,149.56332240670844,128,2018-11-01,21.563322406708437
23,67,134.19732017355062,135,2018-12-01,0.8026798264493777
0,9,132.65950946268353,101,2017-01-01,31.65950946268353
1,9,116.51040309848761,96,2017-02-01,20.510403098487615
2,9,104.38112607470815,107,2017-03-01,2.618873925291851
3,9,102.488894659855,116,2017-04-01,13.511105340144994
4,9,109.83563125554724,99,2017-05-01,10.835631255547241
5,9,105.52818120396785,113,2017-06-01,7.471818796032153
6,9,109.22481443351707,118,2017-07-01,8.775185566482932
7,9,113.12650328117948,105,2017-08-01,8.126503281179481
8,9,110.3957329333299,116,2017-09-01,5.604267066670104
9,9,113.08655562114627,111,2017-10-01,2.0865556211462746
10,9,111.44635300536994,109,2017-11-01,2.446353005369943
11,9,110.91519262082927,103,2017-12-01,7.9151926208292736
12,9,106.24287059010051,96,2018-01-01,10.242870590100509
13,9,100.36230201926246,98,2018-02-01,2.362302019262458
14,9,98.15920424704922,108,2018-03-01,9.840795752950783
15,9,102.71854825352983,78,2018-04-01,24.718548253529832
16,9,90.64933018776576,110,2018-05-01,19.350669812234244
17,9,99.30670650282005,121,2018-06-01,21.69329349717995
18,9,109.16564735268709,115,2018-07-01,5.834352647312912
19,9,115.89455626644657,115,2018-08-01,0.8945562664465712
20,9,116.24456730114804,119,2018-09-01,2.755432698851962
21,9,117.13084172625017,97,2018-10-01,20.130841726250168
22,9,107.03447305751003,100,2018-11-01,7.034473057510027
23,9,102.7257866228021,110,2018-12-01,7.274213377197896
0,69,68.64389058404784,75,2017-01-01,6.356109415952162
1,69,77.55547014218241,47,2017-02-01,30.555470142182415
2,69,58.320782085042794,74,2017-03-01,15.679217914957206
3,69,62.68546496979919,47,2017-04-01,15.685464969799192
4,69,58.00313448207838,78,2017-05-01,19.99686551792162
5,69,63.89268089164194,87,2017-06-01,23.107319108358062
6,69,82.47661793065464,84,2017-07-01,1.5233820693453595
7,69,85.07802638052897,66,2017-08-01,19.078026380528968
8,69,73.6411660655707,74,2017-09-01,0.358833934429299
9,69,70.60166370994416,72,2017-10-01,1.3983362900558376
10,69,72.4778464054571,69,2017-11-01,3.4778464054571003
11,69,70.08193984453828,82,2017-12-01,11.918060155461717
12,69,76.20536199950065,69,2018-01-01,7.205361999500653
